date,usd_to_cny,cny_to_usd,source
2026-04-25,7.2415,0.13811,local_fallback
2026-04-26,7.2380,0.13818,local_fallback
2026-04-27,7.2350,0.13824,local_fallback
2026-04-28,7.2310,0.13831,local_fallback
2026-04-29,7.2290,0.13835,local_fallback
2026-04-30,7.2320,0.13829,local_fallback
2026-05-01,7.2350,0.13824,local_fallback
2026-05-02,7.2400,0.13812,local_fallback
2026-05-03,7.2380,0.13818,local_fallback
2026-05-04,7.2310,0.13831,local_fallback
2026-05-05,7.2280,0.13836,local_fallback
2026-05-06,7.2300,0.13832,local_fallback
2026-05-07,7.2340,0.13825,local_fallback
